"Points:0","Points:1","Points:2","U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p"
0,0.0099999998,-0.0015,1.4776,0,0,0,0,0,0,0,0,2.21313
0.00098039221,0.0099999998,-0.0015,1.4777775,0.0012497357,0,-1.561816e-06,1.8001876e-05,0,-1.561816e-06,1.8001876e-05,0,2.2129674
0.0019607844,0.0099999998,-0.0015,1.4781851,0.002467525,0,-2.30259e-06,1.4153825e-05,0,-2.30259e-06,1.4153825e-05,0,2.2123926
0.0029411765,0.0099999998,-0.0015,1.4788976,0.003617795,0,-3.1660275e-06,-2.8106997e-06,0,-3.1660275e-06,-2.8106997e-06,0,2.2113349
0.0039215689,0.0099999998,-0.0015,1.47987,0.0046735201,0,-2.8698626e-06,-4.0864452e-05,0,-2.8698626e-06,-4.0864452e-05,0,2.2098749
0.004901961,0.0099999998,-0.0015,1.481055,0.0056234598,0,-1.9295251e-07,-9.54321e-05,0,-1.9295251e-07,-9.54321e-05,0,2.2081125
0.0058823531,0.0099999998,-0.0015,1.4824125,0.0064683398,0,5.6215349e-06,-0.00016311376,0,5.6215349e-06,-0.00016311376,0,2.2060976
0.0068627452,0.0099999998,-0.0015,1.4839175,0.0072141998,0,1.5466981e-05,-0.00024094075,0,1.5466981e-05,-0.00024094075,0,2.2038651
0.0078431377,0.0099999998,-0.0015,1.48555,0.0078684976,0,2.9944524e-05,-0.00032614876,0,2.9944524e-05,-0.00032614876,0,2.2014425
0.0088235298,0.0099999998,-0.0015,1.48729,0.0084394803,0,4.9428774e-05,-0.00041582875,0,4.9428774e-05,-0.00041582875,0,2.1988575
0.0098039219,0.0099999998,-0.0015,1.4891225,0.0089362571,0,7.4166703e-05,-0.00050680799,0,7.4166703e-05,-0.00050680799,0,2.1961374
0.010784314,0.0099999998,-0.0015,1.49103,0.0093681449,0,0.00010395827,-0.00059609575,0,0.00010395827,-0.00059609575,0,2.1933
0.011764706,0.0099999998,-0.0015,1.4930025,0.0097439494,0,0.00013871249,-0.00068127475,0,0.00013871249,-0.00068127475,0,2.1903651
0.012745098,0.0099999998,-0.0015,1.4950325,0.010071525,0,0.00017851275,-0.00076030224,0,0.00017851275,-0.00076030224,0,2.187345
0.01372549,0.0099999998,-0.0015,1.497115,0.010357565,0,0.00022293525,-0.00083199347,0,0.00022293525,-0.00083199347,0,2.1842475
0.014705882,0.0099999998,-0.0015,1.49924,0.01060767,0,0.00027132526,-0.0008957847,0,0.00027132526,-0.0008957847,0,2.1810775
0.015686275,0.0099999998,-0.0015,1.5013975,0.010826455,0,0.00032308599,-0.00095206976,0,0.00032308599,-0.00095206976,0,2.1778476
0.016666668,0.0099999998,-0.0015,1.50359,0.011017704,0,0.00037792674,-0.0010019777,0,0.00037792674,-0.0010019777,0,2.1745675
0.01764706,0.0099999998,-0.0015,1.5058175,0.011184584,0,0.00043561001,-0.001047158,0,0.00043561001,-0.001047158,0,2.1712351
