#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
0.029	9.421100e-05	4.710550e-05	4.710550e-05	-3.906170e-08	1.399003e-06	-1.438065e-06	1.418534e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.03	9.407637e-05	4.703818e-05	4.703818e-05	-4.217496e-08	1.395833e-06	-1.438008e-06	1.416920e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.031	9.396483e-05	4.698241e-05	4.698241e-05	-3.641315e-08	1.396222e-06	-1.432636e-06	1.414429e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.032	9.385069e-05	4.692535e-05	4.692535e-05	-3.372850e-08	1.395454e-06	-1.429182e-06	1.412318e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.033	9.375323e-05	4.687662e-05	4.687662e-05	-2.719866e-08	1.396336e-06	-1.423535e-06	1.409936e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.034	9.366174e-05	4.683087e-05	4.683087e-05	-1.987934e-08	1.397589e-06	-1.417469e-06	1.407529e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.035	9.358235e-05	4.679117e-05	4.679117e-05	-9.195145e-09	1.400254e-06	-1.409449e-06	1.404851e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.036	9.351953e-05	4.675976e-05	4.675976e-05	1.882425e-09	1.403312e-06	-1.401430e-06	1.402371e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.037	9.346905e-05	4.673453e-05	4.673453e-05	1.282320e-08	1.406508e-06	-1.393685e-06	1.400096e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.038	9.342770e-05	4.671385e-05	4.671385e-05	2.186853e-08	1.409157e-06	-1.387289e-06	1.398223e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.039	9.340117e-05	4.670058e-05	4.670058e-05	3.074158e-08	1.411986e-06	-1.381244e-06	1.396615e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
