"U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.3174,0.021244,0,-0.69676,-0.58723,0,-0.69676,-0.58723,0,-0.76935,1,0.00315,0.12,0.00315,0
2.3188,0.021033,0,-0.70187,-0.59531,0,-0.70187,-0.59531,0,-0.77028,1,0.0032,0.12,0.0032,0
2.3202,0.020822,0,-0.70698,-0.60339,0,-0.70698,-0.60339,0,-0.77121,1,0.00325,0.12,0.00325,0
2.3216,0.02061,0,-0.71209,-0.61147,0,-0.71209,-0.61147,0,-0.77213,1,0.0033,0.12,0.0033,0
2.323,0.020399,0,-0.7172,-0.61955,0,-0.7172,-0.61955,0,-0.77306,1,0.00335,0.12,0.00335,0
2.3244,0.020188,0,-0.72231,-0.62763,0,-0.72231,-0.62763,0,-0.77399,1,0.0034,0.12,0.0034,0
2.3257,0.019976,0,-0.72742,-0.63571,0,-0.72742,-0.63571,0,-0.77492,1,0.00345,0.12,0.00345,0
2.3271,0.019765,0,-0.73253,-0.64379,0,-0.73253,-0.64379,0,-0.77585,1,0.0035,0.12,0.0035,0
2.3285,0.019553,0,-0.73765,-0.65188,0,-0.73765,-0.65188,0,-0.77678,1,0.00355,0.12,0.00355,0
2.3299,0.019342,0,-0.74276,-0.65996,0,-0.74276,-0.65996,0,-0.7777,1,0.0036,0.12,0.0036,0
2.3313,0.019131,0,-0.74787,-0.66804,0,-0.74787,-0.66804,0,-0.77863,1,0.00365,0.12,0.00365,0
2.3327,0.018919,0,-0.75298,-0.67612,0,-0.75298,-0.67612,0,-0.77956,1,0.0037,0.12,0.0037,0
2.334,0.018708,0,-0.75809,-0.6842,0,-0.75809,-0.6842,0,-0.78049,1,0.00375,0.12,0.00375,0
2.3354,0.018497,0,-0.7632,-0.69228,0,-0.7632,-0.69228,0,-0.78142,1,0.0038,0.12,0.0038,0
2.3368,0.018285,0,-0.76831,-0.70036,0,-0.76831,-0.70036,0,-0.78235,1,0.00385,0.12,0.00385,0
2.3382,0.018074,0,-0.77343,-0.70844,0,-0.77343,-0.70844,0,-0.78327,1,0.0039,0.12,0.0039,0
2.3396,0.017862,0,-0.77854,-0.71652,0,-0.77854,-0.71652,0,-0.7842,1,0.00395,0.12,0.00395,0
2.341,0.017651,0,-0.78365,-0.72461,0,-0.78365,-0.72461,0,-0.78513,1,0.004,0.12,0.004,0
2.3414,0.017433,0,-0.78796,-0.73524,0,-0.78796,-0.73524,0,-0.78624,1,0.00405,0.12,0.00405,0
2.3419,0.017215,0,-0.79227,-0.74588,0,-0.79227,-0.74588,0,-0.78734,1,0.0041,0.12,0.0041,0
2.3424,0.016997,0,-0.79659,-0.75652,0,-0.79659,-0.75652,0,-0.78845,1,0.00415,0.12,0.00415,0
