#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
10	1.005567e-04	5.027836e-05	5.027836e-05	6.580861e-05	2.670455e-05	3.910406e-05	-6.199753e-06	-1.837373e-32	1.260429e-31	1.408430e-30	8.302580e-31	5.781723e-31
10.0004	1.013163e-04	5.065816e-05	5.065816e-05	6.561676e-05	2.666076e-05	3.895599e-05	-6.147615e-06	-1.715560e-32	1.251662e-31	1.400640e-30	8.254861e-31	5.751537e-31
10.001	1.022428e-04	5.112140e-05	5.112140e-05	6.232512e-05	2.544260e-05	3.688252e-05	-5.719961e-06	-1.423631e-32	1.134089e-31	1.307917e-30	7.673672e-31	5.405494e-31
10.0014	1.025749e-04	5.128745e-05	5.128745e-05	5.925710e-05	2.429047e-05	3.496663e-05	-5.338083e-06	-1.251206e-32	1.054320e-31	1.244479e-30	7.276715e-31	5.168075e-31
10.002	1.030023e-04	5.150115e-05	5.150115e-05	5.310679e-05	2.196613e-05	3.114066e-05	-4.587266e-06	-9.410455e-33	8.703090e-32	1.099627e-30	6.368444e-31	4.627826e-31
10.0024	1.032488e-04	5.162438e-05	5.162438e-05	4.736250e-05	1.978509e-05	2.757741e-05	-3.896160e-06	-7.446345e-33	7.404533e-32	9.978304e-31	5.729605e-31	4.248698e-31
10.003	1.030242e-04	5.151208e-05	5.151208e-05	3.788442e-05	1.617081e-05	2.171361e-05	-2.771397e-06	-4.601235e-33	5.297845e-32	8.330040e-31	4.694805e-31	3.635236e-31
10.0034	1.028350e-04	5.141749e-05	5.141749e-05	3.033366e-05	1.328723e-05	1.704643e-05	-1.879599e-06	-2.832797e-33	3.829160e-32	7.182555e-31	3.974193e-31	3.208361e-31
10.004	1.022572e-04	5.112860e-05	5.112860e-05	1.877366e-05	8.863154e-06	9.910503e-06	-5.236749e-07	-7.106031e-34	1.749119e-32	5.557416e-31	2.953620e-31	2.603796e-31
10.0044	1.015429e-04	5.077143e-05	5.077143e-05	1.050312e-05	5.690489e-06	4.812629e-06	4.389299e-07	3.651160e-34	4.637544e-33	4.550294e-31	2.321522e-31	2.228771e-31
10.005	1.005581e-04	5.027904e-05	5.027904e-05	-1.971981e-06	9.012130e-07	-2.873194e-06	1.887203e-06	1.426669e-33	-1.293750e-32	3.174852e-31	1.458051e-31	1.716801e-31
10.0054	9.996607e-05	4.998304e-05	4.998304e-05	-1.052422e-05	-2.383525e-06	-8.140690e-06	2.878582e-06	1.814373e-33	-2.335215e-32	2.359095e-31	9.460262e-32	1.413069e-31
10.006	9.909105e-05	4.954553e-05	4.954553e-05	-2.294511e-05	-7.159297e-06	-1.578582e-05	4.313260e-06	1.898441e-33	-3.589043e-32	1.374011e-31	3.281012e-32	1.045910e-31
10.0064	9.892225e-05	4.946112e-05	4.946112e-05	-3.049330e-05	-1.005983e-05	-2.043347e-05	5.186818e-06	1.520207e-33	-4.161264e-32	9.224271e-32	4.508714e-33	8.773400e-32
10.007	9.837686e-05	4.918843e-05	4.918843e-05	-4.139694e-05	-1.425810e-05	-2.713884e-05	6.440371e-06	1.077389e-33	-5.262836e-32	5.127961e-33	-5.006438e-32	5.519234e-32
10.0074	9.832696e-05	4.916348e-05	4.916348e-05	-4.779370e-05	-1.672064e-05	-3.107306e-05	7.176213e-06	3.708014e-34	-5.565302e-32	-1.990408e-32	-6.560506e-32	4.570098e-32
10.008	9.832186e-05	4.916093e-05	4.916093e-05	-5.575012e-05	-1.978929e-05	-3.596083e-05	8.085768e-06	-8.860786e-34	-5.783666e-32	-3.882396e-32	-7.724864e-32	3.842468e-32
10.0084	9.889719e-05	4.944860e-05	4.944860e-05	-5.954728e-05	-2.125123e-05	-3.829605e-05	8.522409e-06	-2.038681e-33	-5.567595e-32	-2.326923e-32	-6.731056e-32	4.404134e-32
10.009	9.955948e-05	4.977974e-05	4.977974e-05	-6.382025e-05	-2.290392e-05	-4.091633e-05	9.006204e-06	-4.244079e-33	-4.611099e-32	4.921199e-32	-2.150499e-32	7.071698e-32
10.0094	1.001736e-04	5.008680e-05	5.008680e-05	-6.534297e-05	-2.349679e-05	-4.184618e-05	9.174696e-06	-5.822234e-33	-3.824627e-32	1.097631e-31	1.663529e-32	9.312784e-32
10.01	1.009516e-04	5.047580e-05	5.047580e-05	-6.600329e-05	-2.376550e-05	-4.223780e-05	9.236151e-06	-7.708154e-33	-3.032032e-32	1.717892e-31	5.557430e-32	1.162149e-31
10.0104	1.014438e-04	5.072191e-05	5.072191e-05	-6.473981e-05	-2.329349e-05	-4.144632e-05	9.076412e-06	-8.670609e-33	-2.794679e-32	1.914021e-31	6.775425e-32	1.236478e-31
10.011	1.024964e-04	5.124818e-05	5.124818e-05	-6.099147e-05	-2.187004e-05	-3.912143e-05	8.625693e-06	-9.982577e-33	-2.505850e-32	2.163103e-31	8.309663e-32	1.332136e-31
10.0114	1.028227e-04	5.141135e-05	5.141135e-05	-5.756962e-05	-2.057176e-05	-3.699786e-05	8.213048e-06	-1.029936e-32	-2.710335e-32	2.026421e-31	7.421768e-32	1.284244e-31
10.012	1.031868e-04	5.159341e-05	5.159341e-05	-5.011791e-05	-1.773682e-05	-3.238109e-05	7.322139e-06	-1.064929e-32	-3.117400e-32	1.748845e-31	5.626827e-32	1.186163e-31
10.0124	1.030725e-04	5.153623e-05	5.153623e-05	-4.395561e-05	-1.539272e-05	-2.856289e-05	6.585083e-06	-1.091527e-32	-3.307054e-32	1.631268e-31	4.849285e-32	1.146339e-31
10.013	1.029070e-04	5.145350e-05	5.145350e-05	-3.458048e-05	-1.182182e-05	-2.275867e-05	5.468423e-06	-1.137842e-32	-3.443707e-32	1.574690e-31	4.429742e-32	1.131716e-31
10.0134	1.026192e-04	5.130961e-05	5.130961e-05	-2.634939e-05	-8.684348e-06	-1.766504e-05	4.490346e-06	-1.176607e-32	-3.340693e-32	1.685272e-31	5.085667e-32	1.176705e-31
10.014	1.017988e-04	5.089942e-05	5.089942e-05	-1.464985e-05	-4.226269e-06	-1.042358e-05	3.098656e-06	-1.263977e-32	-2.708323e-32	2.226473e-31	8.424039e-32	1.384069e-31
10.0144	1.012563e-04	5.062813e-05	5.062813e-05	-6.288931e-06	-1.036195e-06	-5.252736e-06	2.108270e-06	-1.329974e-32	-2.065007e-32	2.756709e-31	1.171854e-31	1.584855e-31
10.015	1.003243e-04	5.016214e-05	5.016214e-05	6.578972e-06	3.876165e-06	2.702807e-06	5.866789e-07	-1.425935e-32	-7.962784e-33	3.768202e-31	1.804473e-31	1.963729e-31
10.0154	9.963603e-05	4.981802e-05	4.981802e-05	1.481780e-05	7.023408e-06	7.794394e-06	-3.854933e-07	-1.488606e-32	2.314694e-33	4.571831e-31	2.309063e-31	2.262769e-31
10.016	9.890822e-05	4.945411e-05	4.945411e-05	2.700885e-05	1.168910e-05	1.531974e-05	-1.815321e-06	-1.606435e-32	2.169386e-32	6.082120e-31	3.257998e-31	2.824121e-31
