"Points:0","Points:1","Points:2","U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p"
0,0.0099999998,-0.0015,1.4776,0,0,0,0,0,0,0,0,1.960925
0.00098039221,0.0099999998,-0.0015,1.4777775,0.001250438,0,-4.2352076e-06,6.5493798e-05,0,-4.2352076e-06,6.5493798e-05,0,1.9607625
0.0019607844,0.0099999998,-0.0015,1.4781851,0.0024689026,0,-7.8661697e-06,0.00012679808,0,-7.8661697e-06,0.00012679808,0,1.9601849
0.0029411765,0.0099999998,-0.0015,1.4788976,0.003619815,0,-1.6254782e-05,0.0002269025,0,-1.6254782e-05,0.0002269025,0,1.9591274
0.0039215689,0.0099999998,-0.0015,1.47987,0.0046761278,0,-3.2075703e-05,0.00034648675,0,-3.2075703e-05,0.00034648675,0,1.95767
0.004901961,0.0099999998,-0.0015,1.481055,0.0056265797,0,-5.4713077e-05,0.00047956,0,-5.4713077e-05,0.00047956,0,1.9559075
0.0058823531,0.0099999998,-0.0015,1.4824125,0.0064718826,0,-8.4988023e-05,0.00062242628,0,-8.4988023e-05,0.00062242628,0,1.953895
0.0068627452,0.0099999998,-0.0015,1.4839175,0.0072180675,0,-0.0001236939,0.00077161827,0,-0.0001236939,0.00077161827,0,1.9516649
0.0078431377,0.0099999998,-0.0015,1.48555,0.0078726001,0,-0.000171454,0.00092371472,0,-0.000171454,0.00092371472,0,1.9492425
0.0088235298,0.0099999998,-0.0015,1.48729,0.00844373,0,-0.00022838324,0.0010755262,0,-0.00022838324,0.0010755262,0,1.9466575
0.0098039219,0.0099999998,-0.0015,1.4891225,0.0089405477,0,-0.0002940885,0.001224205,0,-0.0002940885,0.001224205,0,1.94394
0.010784314,0.0099999998,-0.0015,1.49103,0.009372415,0,-0.00036798249,0.001367525,0,-0.00036798249,0.001367525,0,1.941105
0.011764706,0.0099999998,-0.0015,1.4930025,0.0097481878,0,-0.00044983826,0.0015043,0,-0.00044983826,0.0015043,0,1.93817
0.012745098,0.0099999998,-0.0015,1.4950325,0.010075662,0,-0.00054006028,0.00163379,0,-0.00054006028,0.00163379,0,1.9351475
0.01372549,0.0099999998,-0.0015,1.49711,0.01036157,0,-0.00063840346,0.001756115,0,-0.00063840346,0.001756115,0,1.9320475
0.014705882,0.0099999998,-0.0015,1.4992325,0.010611575,0,-0.00074376125,0.00187239,0,-0.00074376125,0.00187239,0,1.9288825
0.015686275,0.0099999998,-0.0015,1.501395,0.010830307,0,-0.00085567276,0.0019848526,0,-0.00085567276,0.0019848526,0,1.9256575
0.016666668,0.0099999998,-0.0015,1.50359,0.01102159,0,-0.00097429496,0.0020964374,0,-0.00097429496,0.0020964374,0,1.9223775
0.01764706,0.0099999998,-0.0015,1.5058125,0.011188572,0,-0.0010998638,0.0022108401,0,-0.0010998638,0.0022108401,0,1.9190475
0.018627452,0.0099999998,-0.0015,1.5080625,0.011333825,0,-0.001232215,0.002332025,0,-0.001232215,0.002332025,0,1.9156725
0.019607844,0.0099999998,-0.0015,1.5103375,0.0114594,0,-0.001370765,0.0024652351,0,-0.001370765,0.0024652351,0,1.9122601
0.020588236,0.0099999998,-0.0015,1.51263,0.011566875,0,-0.0015163301,0.0026161575,0,-0.0015163301,0.0026161575,0,1.908815
0.021568628,0.0099999998,-0.0015,1.51494,0.011657475,0,-0.0016705125,0.0027902049,0,-0.0016705125,0.0027902049,0,1.9053376
0.02254902,0.0099999998,-0.0015,1.5172651,0.011732075,0,-0.0018339824,0.0029929776,0,-0.0018339824,0.0029929776,0,1.90183
0.023529412,0.0099999998,-0.0015,1.5196,0.01179125,0,-0.0020079175,0.003230745,0,-0.0020079175,0.003230745,0,1.8983001
0.024509804,0.0099999998,-0.0015,1.521945,0.011835375,0,-0.0021945101,0.0035093874,0,-0.0021945101,0.0035093874,0,1.8947525
0.025490196,0.0099999998,-0.0015,1.5243,0.011864625,0,-0.0023953551,0.00383494,0,-0.0023953551,0.00383494,0,1.8911901
0.026470589,0.0099999998,-0.0015,1.52666,0.011879075,0,-0.002614625,0.0042130924,0,-0.002614625,0.0042130924,0,1.8876175
0.027450981,0.0099999998,-0.0015,1.5290174,0.011878651,0,-0.0028521575,0.0046494501,0,-0.0028521575,0.0046494501,0,1.8840375
0.028431373,0.0099999998,-0.0015,1.5313749,0.011863175,0,-0.0031115024,0.0051498273,0,-0.0031115024,0.0051498273,0,1.880455
0.029411765,0.0099999998,-0.0015,1.53373,0.011832475,0,-0.0034019798,0.0057202578,0,-0.0034019798,0.0057202578,0,1.8768775
0.030392157,0.0099999998,-0.0015,1.536075,0.011786275,0,-0.00371971,0.0063658804,0,-0.00371971,0.0063658804,0,1.8733025
0.031372551,0.0099999998,-0.0015,1.5384049,0.01172425,0,-0.0040740124,0.0070913676,0,-0.0040740124,0.0070913676,0,1.86974
0.032352943,0.0099999998,-0.0015,1.540725,0.0116462,0,-0.0044704052,0.007902272,0,-0.0044704052,0.007902272,0,1.866195
