#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
0.001	1.730200e-04	8.651001e-05	8.651001e-05	2.800717e-07	2.698753e-06	-2.418681e-06	2.558717e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.002	1.610005e-04	8.050026e-05	8.050026e-05	7.470702e-08	2.442093e-06	-2.367386e-06	2.404739e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.003	1.519914e-04	7.599572e-05	7.599572e-05	5.466174e-08	2.299435e-06	-2.244773e-06	2.272104e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.004	1.419153e-04	7.095766e-05	7.095766e-05	1.798810e-08	2.134908e-06	-2.116920e-06	2.125914e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.005	1.324009e-04	6.620046e-05	6.620046e-05	2.819583e-08	1.995977e-06	-1.967781e-06	1.981879e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006	1.245782e-04	6.228912e-05	6.228912e-05	3.679669e-08	1.882061e-06	-1.845264e-06	1.863663e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.007	1.179251e-04	5.896256e-05	5.896256e-05	2.298112e-08	1.777377e-06	-1.754396e-06	1.765887e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.008	1.126084e-04	5.630421e-05	5.630421e-05	2.166870e-08	1.697305e-06	-1.675636e-06	1.686470e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.009	1.084095e-04	5.420475e-05	5.420475e-05	2.783919e-08	1.636755e-06	-1.608916e-06	1.622835e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01	1.050642e-04	5.253212e-05	5.253212e-05	2.976634e-08	1.587361e-06	-1.557595e-06	1.572478e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.011	1.022150e-04	5.110752e-05	5.110752e-05	2.934913e-08	1.544476e-06	-1.515127e-06	1.529801e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
