#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
0.00096	2.510041e-04	1.255021e-04	1.255021e-04	-1.371393e-07	8.733890e-06	-8.871029e-06	8.802459e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00204	2.292280e-04	1.146140e-04	1.146140e-04	-4.405449e-08	8.006975e-06	-8.051030e-06	8.029003e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.003	2.156022e-04	1.078011e-04	1.078011e-04	-2.006849e-08	7.538923e-06	-7.558992e-06	7.548958e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00396	2.019200e-04	1.009600e-04	1.009600e-04	1.817672e-08	7.074111e-06	-7.055935e-06	7.065023e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00504	1.864726e-04	9.323630e-05	9.323630e-05	2.535883e-10	6.526572e-06	-6.526318e-06	6.526445e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006	1.741502e-04	8.707511e-05	8.707511e-05	-2.580606e-08	6.085672e-06	-6.111478e-06	6.098575e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00696	1.638240e-04	8.191200e-05	8.191200e-05	-2.797594e-08	5.723463e-06	-5.751439e-06	5.737451e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00804	1.537967e-04	7.689834e-05	7.689834e-05	-1.528709e-08	5.377239e-06	-5.392526e-06	5.384882e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.009	1.464053e-04	7.320263e-05	7.320263e-05	-2.153985e-08	5.116107e-06	-5.137647e-06	5.126877e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00996	1.403250e-04	7.016248e-05	7.016248e-05	-3.928874e-08	4.896482e-06	-4.935771e-06	4.916126e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01104	1.345114e-04	6.725569e-05	6.725569e-05	-6.488474e-08	4.683205e-06	-4.748090e-06	4.715647e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.012	1.300320e-04	6.501599e-05	6.501599e-05	-7.222261e-08	4.523587e-06	-4.595809e-06	4.559698e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01296	1.261857e-04	6.309287e-05	6.309287e-05	-7.741842e-08	4.386957e-06	-4.464375e-06	4.425666e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01404	1.224155e-04	6.120777e-05	6.120777e-05	-5.639210e-08	4.262947e-06	-4.319340e-06	4.291143e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.015	1.194739e-04	5.973693e-05	5.973693e-05	-3.701899e-08	4.167337e-06	-4.204356e-06	4.185846e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01596	1.169184e-04	5.845918e-05	5.845918e-05	-1.786234e-08	4.085178e-06	-4.103041e-06	4.094110e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01704	1.144370e-04	5.721850e-05	5.721850e-05	-7.313535e-09	4.002382e-06	-4.009695e-06	4.006038e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.018	1.125453e-04	5.627264e-05	5.627264e-05	1.697521e-09	3.939634e-06	-3.937937e-06	3.938786e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01896	1.109283e-04	5.546415e-05	5.546415e-05	9.484243e-09	3.886041e-06	-3.876557e-06	3.881299e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.02004	1.094407e-04	5.472034e-05	5.472034e-05	1.089861e-08	3.834570e-06	-3.823671e-06	3.829120e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.021	1.082821e-04	5.414107e-05	5.414107e-05	6.959728e-09	3.792594e-06	-3.785634e-06	3.789114e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.02196	1.073984e-04	5.369921e-05	5.369921e-05	2.122361e-09	3.759898e-06	-3.757776e-06	3.758837e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.02304	1.065073e-04	5.325366e-05	5.325366e-05	-6.921374e-09	3.725348e-06	-3.732270e-06	3.728809e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
