"Points:0","Points:1","Points:2","U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p"
0.036274511,0.0099999998,-0.0015,1.5498126,0.011153725,0,-0.0048836102,0.0087968148,0,-0.0048836102,0.0087968148,0,1.998035
0.037254903,0.0099999998,-0.0015,1.5520124,0.010995495,0,-0.005429015,0.0097470172,0,-0.005429015,0.0097470172,0,1.9946475
0.038235296,0.0099999998,-0.0015,1.5541825,0.010822868,0,-0.0060353074,0.010787208,0,-0.0060353074,0.010787208,0,1.99131
0.039215688,0.0099999998,-0.0015,1.5563149,0.010636555,0,-0.0067042098,0.0119274,0,-0.0067042098,0.0119274,0,1.988025
0.04019608,0.0099999998,-0.0015,1.5584025,0.010437335,0,-0.0074444497,0.0131802,0,-0.0074444497,0.0131802,0,1.984795
0.041176472,0.0099999998,-0.0015,1.5604525,0.010226128,0,-0.0082582273,0.014558924,0,-0.0082582273,0.014558924,0,1.981625
0.042156864,0.0099999998,-0.0015,1.5624599,0.010003902,0,-0.0091572972,0.016079025,0,-0.0091572972,0.016079025,0,1.9785225
0.043137256,0.0099999998,-0.0015,1.5644175,0.0097715827,0,-0.010148083,0.017757274,0,-0.010148083,0.017757274,0,1.9754875
0.044117648,0.0099999998,-0.0015,1.5663325,0.0095301177,0,-0.011237692,0.019611999,0,-0.011237692,0.019611999,0,1.972525
0.04509804,0.0099999998,-0.0015,1.5681975,0.0092805075,0,-0.012441975,0.021666199,0,-0.012441975,0.021666199,0,1.96964
0.046078432,0.0099999998,-0.0015,1.5700076,0.0090237223,0,-0.013763975,0.023942349,0,-0.013763975,0.023942349,0,1.9668325
0.047058824,0.0099999998,-0.0015,1.5717649,0.0087607419,0,-0.015225975,0.026468225,0,-0.015225975,0.026468225,0,1.964105
0.048039217,0.0099999998,-0.0015,1.5734675,0.0084925573,0,-0.016831525,0.029270925,0,-0.016831525,0.029270925,0,1.96146
0.049019609,0.0099999998,-0.0015,1.5751175,0.0082200244,0,-0.018602725,0.032380249,0,-0.018602725,0.032380249,0,1.9589025
0.050000001,0.0099999998,-0.0015,1.5767125,0.0079437522,0,-0.020553749,0.035827048,0,-0.020553749,0.035827048,0,1.95643
0.050980393,0.0099999998,-0.0015,1.5782501,0.0076639578,0,-0.022705074,0.039644774,0,-0.022705074,0.039644774,0,1.9540401
0.051960785,0.0099999998,-0.0015,1.579735,0.0073805251,0,-0.025084175,0.043875203,0,-0.025084175,0.043875203,0,1.951735
0.052941177,0.0099999998,-0.0015,1.5811675,0.0070931227,0,-0.027709825,0.048561174,0,-0.027709825,0.048561174,0,1.94952
0.053921569,0.0099999998,-0.0015,1.5825425,0.0068012048,0,-0.030619401,0.053753126,0,-0.030619401,0.053753126,0,1.9473951
0.054901961,0.0099999998,-0.0015,1.5838575,0.0065039126,0,-0.033834502,0.059503175,0,-0.033834502,0.059503175,0,1.9453576
