"Points:0","Points:1","Points:2","U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p"
0,0.0099999998,-0.0015,1.4776,0,0,0,0,0,0,0,0,2.2794499
0.00098039221,0.0099999998,-0.0015,1.4777775,0.001249837,0,-6.9163724e-07,5.22009e-05,0,-6.9163724e-07,5.22009e-05,0,2.27929
0.0019607844,0.0099999998,-0.0015,1.4781851,0.0024677,0,-6.6095627e-06,0.00010132032,0,-6.6095627e-06,0.00010132032,0,2.2787151
0.0029411765,0.0099999998,-0.0015,1.4788976,0.003618015,0,-1.526955e-05,0.00013058275,0,-1.526955e-05,0.00013058275,0,2.2776575
0.0039215689,0.0099999998,-0.0015,1.47987,0.0046737525,0,-2.4125025e-05,0.000142718,0,-2.4125025e-05,0.000142718,0,2.2762001
0.004901961,0.0099999998,-0.0015,1.481055,0.0056236801,0,-3.3290926e-05,0.00013859975,0,-3.3290926e-05,0.00013859975,0,2.274435
0.0058823531,0.0099999998,-0.0015,1.4824125,0.0064685224,0,-4.2330899e-05,0.000120241,0,-4.2330899e-05,0.000120241,0,2.2724199
0.0068627452,0.0099999998,-0.0015,1.4839175,0.0072143124,0,-5.0392722e-05,8.9393747e-05,0,-5.0392722e-05,8.9393747e-05,0,2.2701874
0.0078431377,0.0099999998,-0.0015,1.48555,0.0078685172,0,-5.6558776e-05,4.7669524e-05,0,-5.6558776e-05,4.7669524e-05,0,2.267765
0.0088235298,0.0099999998,-0.0015,1.48729,0.0084393946,0,-6.0238373e-05,-2.9622006e-06,0,-6.0238373e-05,-2.9622006e-06,0,2.2651801
0.0098039219,0.0099999998,-0.0015,1.4891225,0.0089360429,0,-6.1258797e-05,-5.9852624e-05,0,-6.1258797e-05,-5.9852624e-05,0,2.26246
0.010784314,0.0099999998,-0.0015,1.49103,0.0093677957,0,-5.9629449e-05,-0.00012012665,0,-5.9629449e-05,-0.00012012665,0,2.259625
0.011764706,0.0099999998,-0.0015,1.4930025,0.00974348,0,-5.4859524e-05,-0.00018099626,0,-5.4859524e-05,-0.00018099626,0,2.25669
0.012745098,0.0099999998,-0.0015,1.4950325,0.01007091,0,-4.6096873e-05,-0.00023948299,0,-4.6096873e-05,-0.00023948299,0,2.2536676
0.01372549,0.0099999998,-0.0015,1.497115,0.010356804,0,-3.354605e-05,-0.00029289775,0,-3.354605e-05,-0.00029289775,0,2.2505674
0.014705882,0.0099999998,-0.0015,1.49924,0.010606797,0,-1.8498566e-05,-0.00033912249,0,-1.8498566e-05,-0.00033912249,0,2.2474027
0.015686275,0.0099999998,-0.0015,1.5013975,0.01082545,0,-1.6986552e-06,-0.000376921,0,-1.6986552e-06,-0.000376921,0,2.244175
0.016666668,0.0099999998,-0.0015,1.5035925,0.0110166,0,1.6979409e-05,-0.00040540926,0,1.6979409e-05,-0.00040540926,0,2.24089
0.01764706,0.0099999998,-0.0015,1.50582,0.011183423,0,3.7417525e-05,-0.000424019,0,3.7417525e-05,-0.000424019,0,2.23756
0.018627452,0.0099999998,-0.0015,1.50807,0.0113284,0,5.8541475e-05,-0.00043258676,0,5.8541475e-05,-0.00043258676,0,2.2341876
0.019607844,0.0099999998,-0.0015,1.5103425,0.011453575,0,7.9013327e-05,-0.00043192375,0,7.9013327e-05,-0.00043192375,0,2.2307725
0.020588236,0.0099999998,-0.0015,1.512635,0.01156055,0,9.8491422e-05,-0.00042321475,0,9.8491422e-05,-0.00042321475,0,2.22732
0.021568628,0.0099999998,-0.0015,1.514945,0.011650451,0,0.00011696108,-0.00040772499,0,0.00011696108,-0.00040772499,0,2.2238374
0.02254902,0.0099999998,-0.0015,1.5172725,0.01172415,0,0.00013349525,-0.00038711226,0,0.00013349525,-0.00038711226,0,2.22033
