#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
0.00096	3.024938e-04	1.512469e-04	1.512469e-04	-7.506095e-08	1.056072e-05	-1.063578e-05	1.059825e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00204	2.740663e-04	1.370332e-04	1.370332e-04	-1.612005e-07	9.531334e-06	-9.692534e-06	9.611934e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.003	2.557082e-04	1.278541e-04	1.278541e-04	-6.016757e-08	8.925657e-06	-8.985824e-06	8.955740e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00396	2.380388e-04	1.190194e-04	1.190194e-04	-3.275817e-08	8.318133e-06	-8.350891e-06	8.334512e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00504	2.189796e-04	1.094898e-04	1.094898e-04	-1.243554e-08	7.658748e-06	-7.671183e-06	7.664965e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006	2.040273e-04	1.020136e-04	1.020136e-04	3.424454e-08	7.152446e-06	-7.118202e-06	7.135324e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00696	1.914517e-04	9.572585e-05	9.572585e-05	6.983147e-08	6.725801e-06	-6.655970e-06	6.690885e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00804	1.793373e-04	8.966866e-05	8.966866e-05	8.954176e-08	6.309307e-06	-6.219766e-06	6.264536e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.009	1.703855e-04	8.519276e-05	8.519276e-05	1.154415e-07	6.005423e-06	-5.889981e-06	5.947702e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00996	1.629446e-04	8.147231e-05	8.147231e-05	1.585429e-07	5.760610e-06	-5.602067e-06	5.681338e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
