#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
5	1.019962e-04	5.099811e-05	5.099811e-05	-1.687608e-05	-5.074071e-06	-1.180201e-05	3.363971e-06	-1.247647e-32	-2.840943e-32	2.114288e-31	7.730498e-32	1.341238e-31
5.001	1.004262e-04	5.021309e-05	5.021309e-05	4.207137e-06	2.969335e-06	1.237802e-06	8.657667e-07	-1.407402e-32	-1.041281e-32	3.573407e-31	1.682575e-31	1.890831e-31
5.002	9.891778e-05	4.945889e-05	4.945889e-05	2.482378e-05	1.085060e-05	1.397318e-05	-1.561292e-06	-1.579734e-32	1.766249e-32	5.768725e-31	3.060987e-31	2.707737e-31
5.003	9.836789e-05	4.918394e-05	4.918394e-05	4.292122e-05	1.779580e-05	2.512543e-05	-3.664815e-06	-1.793596e-32	5.624844e-32	8.744645e-31	4.934807e-31	3.809838e-31
5.004	9.847660e-05	4.923830e-05	4.923830e-05	5.669069e-05	2.310547e-05	3.358522e-05	-5.239878e-06	-1.946880e-32	9.365125e-32	1.161898e-30	6.746004e-31	4.872979e-31
5.005	9.956267e-05	4.978133e-05	4.978133e-05	6.422659e-05	2.605101e-05	3.817558e-05	-6.062285e-06	-1.965224e-32	1.198569e-31	1.362109e-30	8.009116e-31	5.611978e-31
5.006	1.010827e-04	5.054136e-05	5.054136e-05	6.568164e-05	2.667754e-05	3.900410e-05	-6.163278e-06	-1.754396e-32	1.264854e-31	1.411046e-30	8.320082e-31	5.790375e-31
5.007	1.025141e-04	5.125707e-05	5.125707e-05	6.034113e-05	2.470009e-05	3.564104e-05	-5.470473e-06	-1.305094e-32	1.087285e-31	1.270307e-30	7.438820e-31	5.264250e-31
5.008	1.032011e-04	5.160057e-05	5.160057e-05	4.856622e-05	2.024210e-05	2.832413e-05	-4.041014e-06	-7.949544e-33	7.758898e-32	1.025502e-30	5.903402e-31	4.351622e-31
5.009	1.029111e-04	5.145557e-05	5.145557e-05	3.213054e-05	1.397388e-05	1.815666e-05	-2.091390e-06	-3.307032e-33	4.227027e-32	7.494828e-31	4.170117e-31	3.324711e-31
5.01	1.016677e-04	5.083385e-05	5.083385e-05	1.247836e-05	6.447773e-06	6.030583e-06	2.085948e-07	8.022074e-35	7.971684e-33	4.811534e-31	2.485484e-31	2.326050e-31
5.011	1.001810e-04	5.009048e-05	5.009048e-05	-8.207094e-06	-1.492773e-06	-6.714321e-06	2.610774e-06	1.730260e-33	-2.091555e-32	2.549988e-31	1.065838e-31	1.484149e-31
5.012	9.899021e-05	4.949511e-05	4.949511e-05	-2.871390e-05	-9.375785e-06	-1.933812e-05	4.981167e-06	1.568544e-33	-3.984085e-32	1.062010e-31	1.325963e-32	9.294132e-32
5.013	9.833735e-05	4.916867e-05	4.916867e-05	-4.604031e-05	-1.604616e-05	-2.999414e-05	6.973992e-06	5.342751e-34	-5.510561e-32	-1.506798e-32	-6.263961e-32	4.757162e-32
