#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
5	1.076530e-04	5.382649e-05	5.382649e-05	-6.918628e-05	-2.427126e-05	-4.491502e-05	1.032188e-05	-4.022782e-32	2.756892e-31	3.645545e-30	2.098462e-30	1.547083e-30
5.001	1.085249e-04	5.426246e-05	5.426246e-05	-8.498166e-05	-3.025260e-05	-5.472906e-05	1.223823e-05	-4.753825e-32	3.276901e-31	4.002763e-30	2.329072e-30	1.673691e-30
5.002	1.102829e-04	5.514143e-05	5.514143e-05	-9.000861e-05	-3.218107e-05	-5.782754e-05	1.282323e-05	-5.533246e-32	3.886685e-31	4.428020e-30	2.602678e-30	1.825341e-30
5.003	1.116767e-04	5.583837e-05	5.583837e-05	-8.581457e-05	-3.064716e-05	-5.516740e-05	1.226012e-05	-5.998813e-32	4.194122e-31	4.636697e-30	2.737761e-30	1.898936e-30
5.004	1.128815e-04	5.644074e-05	5.644074e-05	-7.177722e-05	-2.540982e-05	-4.636739e-05	1.047879e-05	-6.150384e-32	4.200384e-31	4.630875e-30	2.735476e-30	1.895399e-30
5.005	1.129187e-04	5.645935e-05	5.645935e-05	-4.958314e-05	-1.710937e-05	-3.247376e-05	7.682194e-06	-6.169347e-32	4.106464e-31	4.555721e-30	2.688507e-30	1.867214e-30
5.006	1.118634e-04	5.593172e-05	5.593172e-05	-2.219815e-05	-6.855687e-06	-1.534246e-05	4.243389e-06	-6.235322e-32	4.128554e-31	4.569184e-30	2.697447e-30	1.871737e-30
5.007	1.100122e-04	5.500612e-05	5.500612e-05	7.594962e-06	4.312450e-06	3.282512e-06	5.149689e-07	-6.348048e-32	4.291745e-31	4.691415e-30	2.774882e-30	1.916533e-30
5.008	1.085572e-04	5.427859e-05	5.427859e-05	3.635265e-05	1.511786e-05	2.123479e-05	-3.058463e-06	-6.453821e-32	4.533803e-31	4.879436e-30	2.893099e-30	1.986338e-30
5.009	1.076742e-04	5.383711e-05	5.383711e-05	6.192711e-05	2.475559e-05	3.717152e-05	-6.207967e-06	-6.745203e-32	4.962798e-31	5.209019e-30	3.100789e-30	2.108230e-30
5.01	1.081377e-04	5.406887e-05	5.406887e-05	7.978556e-05	3.152882e-05	4.825674e-05	-8.363959e-06	-7.017093e-32	5.378342e-31	5.531952e-30	3.303810e-30	2.228142e-30
5.011	1.094947e-04	5.474734e-05	5.474734e-05	8.934886e-05	3.520668e-05	5.414219e-05	-9.467755e-06	-6.988470e-32	5.515440e-31	5.653954e-30	3.378521e-30	2.275433e-30
5.012	1.113241e-04	5.566204e-05	5.566204e-05	8.909060e-05	3.520074e-05	5.388986e-05	-9.344557e-06	-6.424479e-32	5.167038e-31	5.421594e-30	3.227501e-30	2.194093e-30
5.013	1.126577e-04	5.632883e-05	5.632883e-05	7.734708e-05	3.086710e-05	4.647999e-05	-7.806445e-06	-5.574007e-32	4.568964e-31	5.003743e-30	2.958768e-30	2.044975e-30
