#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
5	1.295711e-04	6.478556e-05	6.478556e-05	-7.837221e-05	-2.674215e-05	-5.163006e-05	1.244395e-05	-2.191008e-32	1.866340e-31	1.848252e-30	1.110760e-30	7.374917e-31
5.001	1.284235e-04	6.421176e-05	6.421176e-05	-3.086980e-05	-9.593035e-06	-2.127677e-05	5.841866e-06	-2.147920e-32	1.793716e-31	1.804982e-30	1.081863e-30	7.231196e-31
5.002	1.258805e-04	6.294024e-05	6.294024e-05	2.275693e-05	9.793852e-06	1.296308e-05	-1.584615e-06	-2.156509e-32	1.766339e-31	1.793740e-30	1.073504e-30	7.202362e-31
5.003	1.241958e-04	6.209792e-05	6.209792e-05	6.909060e-05	2.659470e-05	4.249590e-05	-7.950598e-06	-2.216156e-32	1.794974e-31	1.819090e-30	1.089042e-30	7.300473e-31
5.004	1.225105e-04	6.125527e-05	6.125527e-05	1.130367e-04	4.256570e-05	7.047099e-05	-1.395264e-05	-2.283507e-32	1.850294e-31	1.857850e-30	1.113954e-30	7.438955e-31
5.005	1.233275e-04	6.166376e-05	6.166376e-05	1.384732e-04	5.189800e-05	8.657518e-05	-1.733859e-05	-2.385776e-32	1.948811e-31	1.922985e-30	1.156374e-30	7.666114e-31
5.006	1.252550e-04	6.262752e-05	6.262752e-05	1.479089e-04	5.546532e-05	9.244356e-05	-1.848912e-05	-2.470402e-32	2.034716e-31	1.979231e-30	1.193087e-30	7.861439e-31
5.007	1.276674e-04	6.383372e-05	6.383372e-05	1.405476e-04	5.295252e-05	8.759508e-05	-1.732128e-05	-2.513703e-32	2.078156e-31	2.008249e-30	1.211940e-30	7.963091e-31
5.008	1.295628e-04	6.478138e-05	6.478138e-05	1.125823e-04	4.295371e-05	6.962856e-05	-1.333742e-05	-2.527710e-32	2.087715e-31	2.016269e-30	1.216906e-30	7.993628e-31
5.009	1.294547e-04	6.472735e-05	6.472735e-05	7.527978e-05	2.951315e-05	4.576663e-05	-8.126742e-06	-2.521361e-32	2.075562e-31	2.010022e-30	1.212567e-30	7.974549e-31
5.01	1.283498e-04	6.417489e-05	6.417489e-05	2.602898e-05	1.169253e-05	1.433645e-05	-1.321959e-06	-2.520238e-32	2.068003e-31	2.006857e-30	1.210229e-30	7.966279e-31
5.011	1.258077e-04	6.290383e-05	6.290383e-05	-2.736674e-05	-7.690190e-06	-1.967655e-05	5.993178e-06	-2.541269e-32	2.095630e-31	2.023195e-30	1.221161e-30	8.020346e-31
5.012	1.240370e-04	6.201850e-05	6.201850e-05	-7.399736e-05	-2.465362e-05	-4.934374e-05	1.234506e-05	-2.588135e-32	2.160485e-31	2.062111e-30	1.247104e-30	8.150072e-31
5.013	1.224618e-04	6.123092e-05	6.123092e-05	-1.160637e-04	-3.999503e-05	-7.606863e-05	1.803680e-05	-2.592134e-32	2.194071e-31	2.078235e-30	1.258525e-30	8.197103e-31
5.014	1.234354e-04	6.171772e-05	6.171772e-05	-1.397716e-04	-4.867528e-05	-9.109630e-05	2.121051e-05	-2.532658e-32	2.168618e-31	2.055531e-30	1.244627e-30	8.109034e-31
5.015	1.254901e-04	6.274505e-05	6.274505e-05	-1.475708e-04	-5.159092e-05	-9.597991e-05	2.219450e-05	-2.455755e-32	2.126164e-31	2.021197e-30	1.223215e-30	7.979820e-31
5.016	1.277188e-04	6.385942e-05	6.385942e-05	-1.380705e-04	-4.823309e-05	-8.983741e-05	2.080216e-05	-2.363124e-32	2.054619e-31	1.970485e-30	1.190704e-30	7.797806e-31
5.017	1.296165e-04	6.480823e-05	6.480823e-05	-1.102031e-04	-3.821126e-05	-7.199185e-05	1.689029e-05	-2.260266e-32	1.951405e-31	1.902228e-30	1.146255e-30	7.559736e-31
5.018	1.294207e-04	6.471035e-05	6.471035e-05	-7.174761e-05	-2.435497e-05	-4.739264e-05	1.151883e-05	-2.180069e-32	1.851079e-31	1.838750e-30	1.104483e-30	7.342670e-31
5.019	1.280119e-04	6.400593e-05	6.400593e-05	-2.176807e-05	-6.304835e-06	-1.546323e-05	4.579200e-06	-2.147209e-32	1.786930e-31	1.801621e-30	1.079504e-30	7.221177e-31
5.02	1.254099e-04	6.270495e-05	6.270495e-05	3.099490e-05	1.277509e-05	1.821981e-05	-2.722359e-06	-2.163264e-32	1.767268e-31	1.795553e-30	1.074503e-30	7.210499e-31
5.021	1.234261e-04	6.171303e-05	6.171303e-05	8.030197e-05	3.065510e-05	4.964687e-05	-9.495886e-06	-2.223707e-32	1.799321e-31	1.822744e-30	1.091304e-30	7.314400e-31
5.022	1.224135e-04	6.120673e-05	6.120673e-05	1.188497e-04	4.468630e-05	7.416342e-05	-1.473856e-05	-2.301298e-32	1.866883e-31	1.868977e-30	1.121177e-30	7.478002e-31
5.023	1.235180e-04	6.175902e-05	6.175902e-05	1.427548e-04	5.347263e-05	8.928220e-05	-1.790478e-05	-2.411478e-32	1.974311e-31	1.939648e-30	1.167255e-30	7.723932e-31
5.024	1.257661e-04	6.288304e-05	6.288304e-05	1.476095e-04	5.538573e-05	9.222374e-05	-1.841900e-05	-2.482491e-32	2.047607e-31	1.987572e-30	1.198547e-30	7.890254e-31
5.025	1.278755e-04	6.393777e-05	6.393777e-05	1.349551e-04	5.094869e-05	8.400640e-05	-1.652885e-05	-2.516337e-32	2.079586e-31	2.009446e-30	1.212682e-30	7.967643e-31
5.026	1.297647e-04	6.488234e-05	6.488234e-05	1.065237e-04	4.077704e-05	6.574663e-05	-1.248479e-05	-2.525867e-32	2.085337e-31	2.014973e-30	1.216020e-30	7.989530e-31
5.027	1.295076e-04	6.475382e-05	6.475382e-05	6.560639e-05	2.601834e-05	3.958806e-05	-6.784861e-06	-2.518226e-32	2.071293e-31	2.007586e-30	1.210922e-30	7.966635e-31
