,volume,N,h,r,Cd_mean,epsilon,sgn,p,Cd_ext,approx_err,ext_err,GCI_fine
./Data/grid_level_1/,4.35e-05,47970.0,3.011339835480707e-05,1.4985948474667636,0.00012198720544727636,-5.438101699150414e-06,1.0,2.4609698469242316,0.00012517453783407088,0.044579279271224855,0.025463104892942255,0.032660519346146805
./Data/grid_level_2/,4.35e-05,21360.0,4.5127783614227994e-05,1.5004215259321652,0.00011654910374812595,-1.4786459670164918e-05,1.0,2.4609698469242316,0.0001251745378340709,0.12686892644082368,0.06890725730003235,0.09250858445665686
./Data/grid_level_3/,4.35e-05,9488.0,6.771069795239652e-05,,0.00010176264407796103,,1.0,2.4609698469242316,,,,
