#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
5	1.327862e-04	6.639308e-05	6.639308e-05	6.340066e-05	2.490560e-05	3.849506e-05	-6.794731e-06	-5.851547e-32	-2.606237e-31	-8.528760e-31	-6.870617e-31	-1.658143e-31
5.001	1.309092e-04	6.545461e-05	6.545461e-05	6.510809e-06	4.679846e-06	1.830963e-06	1.424442e-06	-5.585613e-32	-3.046617e-31	-1.108930e-30	-8.591268e-31	-2.498034e-31
5.002	1.286213e-04	6.431063e-05	6.431063e-05	-5.238252e-05	-1.631536e-05	-3.606716e-05	9.875903e-06	-4.745582e-32	-3.941971e-31	-1.625696e-30	-1.207045e-30	-4.186510e-31
5.003	1.264808e-04	6.324041e-05	6.324041e-05	-1.059307e-04	-3.545165e-05	-7.047902e-05	1.751369e-05	-3.389139e-32	-5.304710e-31	-2.410141e-30	-1.735541e-30	-6.745995e-31
5.004	1.259606e-04	6.298032e-05	6.298032e-05	-1.453774e-04	-4.959368e-05	-9.578368e-05	2.309500e-05	-1.799050e-32	-6.856061e-31	-3.304076e-30	-2.337644e-30	-9.664319e-31
5.005	1.273845e-04	6.369227e-05	6.369227e-05	-1.667625e-04	-5.731217e-05	-1.094503e-04	2.606908e-05	-4.685030e-33	-8.026111e-31	-3.973272e-30	-2.789247e-30	-1.184025e-30
5.006	1.294650e-04	6.473251e-05	6.473251e-05	-1.659357e-04	-5.713048e-05	-1.088052e-04	2.583738e-05	-2.858796e-34	-8.032637e-31	-3.958804e-30	-2.782666e-30	-1.176138e-30
5.007	1.320107e-04	6.600533e-05	6.600533e-05	-1.452055e-04	-4.985499e-05	-9.535051e-05	2.274776e-05	-7.876394e-33	-6.601632e-31	-3.101110e-30	-2.210718e-30	-8.903916e-31
5.008	1.329012e-04	6.645060e-05	6.645060e-05	-1.062981e-04	-3.611426e-05	-7.018384e-05	1.703479e-05	-2.295095e-32	-4.537367e-31	-1.875857e-30	-1.391665e-30	-4.841918e-31
5.009	1.325370e-04	6.626852e-05	6.626852e-05	-5.426363e-05	-1.768538e-05	-3.657825e-05	9.446438e-06	-4.212313e-32	-2.317370e-31	-5.670838e-31	-5.152789e-31	-5.180496e-32
5.01	1.305386e-04	6.526931e-05	6.526931e-05	3.109230e-06	2.661934e-06	4.472961e-07	1.107319e-06	-6.070172e-32	-4.737678e-32	5.110013e-31	2.081239e-31	3.028774e-31
5.011	1.281950e-04	6.409748e-05	6.409748e-05	6.089552e-05	2.320148e-05	3.769404e-05	-7.246279e-06	-7.798139e-32	1.017358e-31	1.375160e-30	7.893160e-31	5.858443e-31
5.012	1.263967e-04	6.319837e-05	6.319837e-05	1.134902e-04	4.194883e-05	7.154137e-05	-1.479627e-05	-9.035581e-32	1.901255e-31	1.878033e-30	1.129142e-30	7.488908e-31
5.013	1.260681e-04	6.303406e-05	6.303406e-05	1.506119e-04	5.525625e-05	9.535565e-05	-2.004970e-05	-9.041484e-32	1.607425e-31	1.686181e-30	1.003833e-30	6.823482e-31
5.014	1.278437e-04	6.392183e-05	6.392183e-05	1.679368e-04	6.158035e-05	1.063564e-04	-2.238805e-05	-7.215526e-32	-3.654611e-32	5.048519e-31	2.158798e-31	2.889721e-31
5.015	1.296677e-04	6.483386e-05	6.483386e-05	1.636538e-04	6.022898e-05	1.034248e-04	-2.159791e-05	-5.253906e-32	-2.429713e-31	-7.285902e-31	-6.072664e-31	-1.213238e-31
